Feature Index,Feature Description
feature0,LAE71AA101ZZ.AV_mean
feature1,LAE71AA101ZZ.AV_std
feature2,LAE71AA101ZZ.AV_min
feature3,LAE71AA101ZZ.AV_max
feature4,A1SPRFLOW.AV_mean
feature5,A1SPRFLOW.AV_std
feature6,A1SPRFLOW.AV_min
feature7,A1SPRFLOW.AV_max
feature8,LAE72AA101ZZ.AV_mean
feature9,LAE72AA101ZZ.AV_std
feature10,LAE72AA101ZZ.AV_min
feature11,LAE72AA101ZZ.AV_max
feature12,B1SPRFLOW.AV_mean
feature13,B1SPRFLOW.AV_std
feature14,B1SPRFLOW.AV_min
feature15,B1SPRFLOW.AV_max
feature16,LAE73AA101ZZ.AV_mean
feature17,LAE73AA101ZZ.AV_std
feature18,LAE73AA101ZZ.AV_min
feature19,LAE73AA101ZZ.AV_max
feature20,A2SPRFLOW.AV_mean
feature21,A2SPRFLOW.AV_std
feature22,A2SPRFLOW.AV_min
feature23,A2SPRFLOW.AV_max
feature24,LAE74AA101ZZ.AV_mean
feature25,LAE74AA101ZZ.AV_std
feature26,LAE74AA101ZZ.AV_min
feature27,LAE74AA101ZZ.AV_max
feature28,B2SPRFLOW.AV_mean
feature29,B2SPRFLOW.AV_std
feature30,B2SPRFLOW.AV_min
feature31,B2SPRFLOW.AV_max
feature32,PSHAOUTTE.AV_mean
feature33,PSHAOUTTE.AV_std
feature34,PSHAOUTTE.AV_min
feature35,PSHAOUTTE.AV_max
feature36,PSHBOUTTE.AV_mean
feature37,PSHBOUTTE.AV_std
feature38,PSHBOUTTE.AV_min
feature39,PSHBOUTTE.AV_max
feature40,PSHBOUTTE.AV_fft_top1
feature41,PSHBOUTTE.AV_fft_top2
feature42,PSHBOUTTE.AV_fft_top3
feature43,PSHBOUTTE.AV_wave_A3_mean
feature44,PSHBOUTTE.AV_wave_A3_std
feature45,PSHBOUTTE.AV_wave_D3_mean
feature46,PSHBOUTTE.AV_wave_D3_std
feature47,PSHBOUTTE.AV_wave_D2_mean
feature48,PSHBOUTTE.AV_wave_D2_std
feature49,PSHBOUTTE.AV_wave_D1_mean
feature50,PSHBOUTTE.AV_wave_D1_std
feature51,PSHAOUTTE.AV_fft_top1
feature52,PSHAOUTTE.AV_fft_top2
feature53,PSHAOUTTE.AV_fft_top3
feature54,PSHAOUTTE.AV_wave_A3_mean
feature55,PSHAOUTTE.AV_wave_A3_std
feature56,PSHAOUTTE.AV_wave_D3_mean
feature57,PSHAOUTTE.AV_wave_D3_std
feature58,PSHAOUTTE.AV_wave_D2_mean
feature59,PSHAOUTTE.AV_wave_D2_std
feature60,PSHAOUTTE.AV_wave_D1_mean
feature61,PSHAOUTTE.AV_wave_D1_std
feature62,LAE72AA101ZZ.AV_fft_top1
feature63,LAE72AA101ZZ.AV_fft_top2
feature64,LAE72AA101ZZ.AV_fft_top3
feature65,LAE72AA101ZZ.AV_wave_A3_mean
feature66,LAE72AA101ZZ.AV_wave_A3_std
feature67,LAE72AA101ZZ.AV_wave_D3_mean
feature68,LAE72AA101ZZ.AV_wave_D3_std
feature69,LAE72AA101ZZ.AV_wave_D2_mean
feature70,LAE72AA101ZZ.AV_wave_D2_std
feature71,LAE72AA101ZZ.AV_wave_D1_mean
feature72,LAE72AA101ZZ.AV_wave_D1_std
feature73,LAE71AA101ZZ.AV_fft_top1
feature74,LAE71AA101ZZ.AV_fft_top2
feature75,LAE71AA101ZZ.AV_fft_top3
feature76,LAE71AA101ZZ.AV_wave_A3_mean
feature77,LAE71AA101ZZ.AV_wave_A3_std
feature78,LAE71AA101ZZ.AV_wave_D3_mean
feature79,LAE71AA101ZZ.AV_wave_D3_std
feature80,LAE71AA101ZZ.AV_wave_D2_mean
feature81,LAE71AA101ZZ.AV_wave_D2_std
feature82,LAE71AA101ZZ.AV_wave_D1_mean
feature83,LAE71AA101ZZ.AV_wave_D1_std
feature84,LAE74AA101ZZ.AV_fft_top1
feature85,LAE74AA101ZZ.AV_fft_top2
feature86,LAE74AA101ZZ.AV_fft_top3
feature87,LAE74AA101ZZ.AV_wave_A3_mean
feature88,LAE74AA101ZZ.AV_wave_A3_std
feature89,LAE74AA101ZZ.AV_wave_D3_mean
feature90,LAE74AA101ZZ.AV_wave_D3_std
feature91,LAE74AA101ZZ.AV_wave_D2_mean
feature92,LAE74AA101ZZ.AV_wave_D2_std
feature93,LAE74AA101ZZ.AV_wave_D1_mean
feature94,LAE74AA101ZZ.AV_wave_D1_std
